TIME,CH1
50:16.0,218
50:17.0,0
50:17.0,55
50:18.0,0
50:18.0,270
50:18.0,49
50:19.0,0
50:19.0,493
50:20.0,435
50:20.0,263
50:21.0,59
50:21.0,812
50:21.0,545
50:21.0,51
50:21.0,816
50:22.0,504
50:22.0,64
50:22.0,723
50:22.0,0
50:23.0,0
50:24.0,108
50:24.0,278
50:24.0,562
50:25.0,0
50:26.0,0
50:26.0,195
50:26.0,379
50:26.0,113
50:26.0,527
50:26.0,126
50:27.0,0
50:27.0,439
50:28.0,73
50:28.0,240
50:29.0,217
50:29.0,60
50:29.0,23
50:30.0,446
50:30.0,42
50:30.0,893
50:30.0,174
50:30.0,0
50:31.0,1067
50:31.0,319
50:31.0,207
50:31.0,488
50:32.0,618
50:32.0,257
50:33.0,0
50:33.0,614
50:33.0,76
50:34.0,0
50:34.0,173
50:34.0,93
50:35.0,235
50:35.0,321
50:35.0,474
50:36.0,0
50:37.0,0
50:37.0,230
50:37.0,931
50:37.0,993
50:38.0,0
50:38.0,181
50:39.0,0
50:39.0,410
50:39.0,68
50:40.0,1306
50:41.0,0
50:41.0,450
50:41.0,0
50:41.0,151
50:41.0,600
50:42.0,621
50:42.0,150
50:42.0,206
50:42.0,21
50:43.0,872
50:43.0,0
50:44.0,558
50:44.0,156
50:44.0,90
50:44.0,376
50:45.0,769
50:45.0,15
50:45.0,159
50:45.0,157
50:45.0,732
50:46.0,253
50:46.0,356
50:46.0,195
50:47.0,899
50:47.0,300
50:47.0,899
50:47.0,418
50:48.0,1521
50:48.0,378
50:48.0,109
50:48.0,45
50:49.0,215
50:49.0,862
50:49.0,252
50:49.0,183
50:49.0,192
50:49.0,323
50:50.0,983
50:50.0,213
50:50.0,1793
50:50.0,0
50:50.0,0
50:50.0,2341
50:50.0,236
50:51.0,198
50:51.0,606
50:51.0,467
50:52.0,346
50:52.0,976
50:53.0,0
50:53.0,1574
50:53.0,144
50:53.0,0
50:53.0,108
50:54.0,2080
50:54.0,101
50:54.0,618
50:54.0,0
50:54.0,340
50:55.0,480
50:55.0,0
50:55.0,813
50:55.0,516
50:55.0,38
50:55.0,101
50:55.0,822
50:55.0,1102
50:55.0,278
50:55.0,302
50:55.0,1054
50:56.0,772
50:56.0,458
50:56.0,254
50:56.0,827
50:56.0,488
50:56.0,23
50:56.0,958
50:56.0,358
50:57.0,686
50:57.0,736
50:57.0,0
50:57.0,1375
50:57.0,758
50:58.0,197
50:58.0,1427
50:58.0,1147
50:58.0,47
50:58.0,470
50:58.0,23
50:58.0,65
50:58.0,797
50:58.0,86
50:58.0,746
50:58.0,113
50:58.0,902
50:58.0,0
50:59.0,4266
50:59.0,2035
50:59.0,31
50:59.0,628
51:00.0,1324
51:00.0,1100
51:00.0,233
51:00.0,381
51:01.0,364
51:01.0,118
51:01.0,0
51:01.0,406
51:01.0,159
51:02.0,0
51:02.0,528
51:02.0,362
51:03.0,156
51:03.0,250
51:03.0,241
51:03.0,369
51:04.0,634
51:04.0,49
51:04.0,467
51:04.0,548
51:05.0,0
51:05.0,1135
51:05.0,711
51:05.0,326
51:05.0,690
51:05.0,16
51:05.0,321
51:06.0,989
51:06.0,484
51:06.0,1195
51:06.0,1068
51:06.0,1187
51:06.0,1735
51:06.0,41
51:07.0,0
51:07.0,0
51:07.0,528
51:07.0,814
51:07.0,639
51:08.0,664
